14,0.947131941012
6,0.945810333937
35,0.947312503433
38,0.947312503433
25,0.947296712803
23,0.947296712803
29,0.947312503433
32,0.947312503433
5,0.944786002636
27,0.947312503433
26,0.947312503433
18,0.947296712803
13,0.947137433405
10,0.946666460702
15,0.947123702422
22,0.947296712803
3,0.940553427253
20,0.947296712803
34,0.947312503433
8,0.946803083979
9,0.946730309771
16,0.947257579502
36,0.947312503433
24,0.947296712803
12,0.947055734058
final,0.947312503433
21,0.947296712803
19,0.947296712803
17,0.947296712803
37,0.947312503433
4,0.941348451145
7,0.946867619597
1,0.916264005602
33,0.947312503433
11,0.94659711924
28,0.947312503433
31,0.947312503433
30,0.947312503433
2,0.932097201626
